,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
3144,3144,F32560,2385.0,E,5.0,2020-08-18 10:32:36.193,2020-08-18,2020-08-12 00:00:00,2020-09-17,,46680.00000000001,0.0,0.0
3150,3150,F32566,3926.0,E,5.0,2020-08-18 17:04:58.717,2020-08-18,2020-08-12 00:00:00,2020-09-17,,2555.4243,0.0,0.0
3151,3151,F32567,2995.0,E,5.0,2020-08-19 09:47:50.500,2020-08-19,2020-08-11 00:00:00,2020-08-19,,3582.0,0.0,0.0
3164,3164,F32580,161.0,E,5.0,2020-08-19 17:04:32.687,2020-08-19,2020-08-14 00:00:00,2020-09-18,,1230.0,0.0,0.0
3179,3179,F32595,1053.0,E,5.0,2020-08-20 14:03:09.460,2020-08-20,2020-08-17 00:00:00,2020-09-19,,17372.82,0.0,0.0
3196,3196,F32612,466.0,E,5.0,2020-08-24 09:32:19.490,2020-08-24,2020-08-25 00:00:00,2020-10-23,,3780.000000000001,0.0,0.0
3202,3202,F32618,5573.0,E,5.0,2020-08-24 12:10:06.147,2020-08-24,2020-09-04 00:00:00,2020-08-24,,9160.0,0.0,0.0
3209,3209,F32625,4786.0,E,5.0,2020-08-25 10:11:25.630,2020-08-25,2020-08-18 00:00:00,2020-08-25,,33280.0,0.0,0.0
3225,3225,F32641,85.0,E,5.0,2020-08-26 10:50:15.850,2020-08-26,2020-08-28 00:00:00,2020-09-10,,6578.36,0.0,0.0
3231,3231,F32647,153.0,E,5.0,2020-08-26 12:57:45.853,2020-08-26,2020-08-24 00:00:00,2020-08-26,,28760.000000000004,0.0,0.0
3239,3239,F32655,1289.0,E,5.0,2020-08-27 11:18:26.477,2020-08-27,2020-08-26 00:00:00,2020-09-26,,1397.0000000000002,0.0,0.0
3247,3247,F32663,4369.0,E,5.0,2020-08-27 15:32:33.517,2020-08-27,2020-08-27 00:00:00,2020-08-27,,3362.0,0.0,0.0
3249,3249,F32665,2080.0,C,5.0,2020-08-27 16:54:32.603,2020-08-27,2020-09-28 00:00:00,2020-08-27,2020-08-28,46874.00000000001,0.0,0.0
